(928, 492)
(1317, 90)
(1319, 129)
(1319, 156)
(1320, 102)
(1321, 107)
(1321, 218)
(1322, 18)
(1322, 161)
(1322, 295)
(1323, 269)
(1324, 383)
(1325, 152)
(1326, 223)
(1329, 224)
(1371, 34)
(1372, 41)
(1374, 161)
(1375, 20)
(1375, 38)
(1378, 199)
(1381, 213)
(1424, 21)
(1427, 24)
(1465, 37)
(1469, 10)
(1476, 141)
(1523, 61)
(1527, 196)
(1527, 226)
(1528, 208)
(1529, 108)
(1530, 232)
(1532, 84)
(1532, 107)
(1532, 163)
(1532, 193)
(1533, 69)
(1533, 171)
(1533, 218)
(1533, 255)
(1536, 126)
(1539, 274)
(1539, 444)
(1541, 155)
(1545, 272)
(1605, 117)
(1635, 65)
(1642, 211)
(1643, 216)
(1645, 213)
(1646, 147)
(1647, 137)
(1699, 20)
(1699, 208)
(1700, 110)
(1700, 114)
(1702, 164)
(1704, 88)
(1704, 137)
(1705, 160)
(1706, 83)
(1710, 113)
(1710, 172)
(1716, 89)
(1716, 224)
(1717, 13)
(1717, 38)
(1722, 160)
(1729, 555)
(1870, 389)
(2085, 60)
(2091, 52)
(2092, 52)
(2094, 51)
(2094, 69)
(2095, 50)
(2095, 51)
(2096, 53)
(2097, 51)
(2098, 51)
(2113, 118)
(2119, 127)
(2127, 192)
(2158, 62)
(2298, 186)
(2300, 218)
(2304, 141)
(2310, 105)
(2310, 215)
(2328, 82)
(2329, 31)
(2332, 49)
(2336, 39)
(2336, 50)
(2339, 39)
(2340, 50)
(2364, 231)
(2365, 222)
(2371, 268)
(2415, 152)
(2472, 103)
(2486, 213)
(2502, 236)
(2503, 250)
(2715, 86)
(2717, 215)
(2719, 220)
(2721, 113)
(2721, 299)
(2737, 211)
(2767, 224)
(2956, 143)
(2958, 134)
(2959, 63)
(2959, 94)
(2961, 88)
(2962, 143)
(2963, 56)
(2965, 56)
(2965, 88)
(2965, 156)
(2977, 75)
(2980, 130)
(2981, 74)
(3062, 113)
(3072, 233)
(3306, 62)
(3307, 79)
(3309, 101)
(3309, 135)
(3310, 87)
(3310, 125)
(3313, 109)
(3314, 129)
(3316, 84)
(3316, 100)
(3317, 96)
(3318, 96)
