(271, 6)
(275, 4)
(278, 4)
(301, 5)
(301, 24)
(301, 25)
(301, 26)
(301, 27)
(301, 28)
(301, 31)
(301, 32)
(301, 34)
(301, 36)
(301, 37)
(301, 38)
(301, 42)
(301, 43)
(304, 5)
(308, 5)
(312, 4)
(582, 22)
(583, 22)
(590, 22)
(596, 22)
(635, 15)
(641, 21)
(642, 20)
(645, 43)
(646, 30)
(647, 33)
(648, 22)
(649, 21)
(649, 22)
(649, 30)
(652, 22)
(653, 22)
(654, 32)
(655, 22)
(655, 29)
(655, 116)
(656, 48)
(657, 37)
(658, 22)
(658, 46)
(659, 22)
(659, 32)
(661, 22)
(661, 33)
(661, 39)
(665, 47)
(667, 45)
(667, 50)
(668, 22)
(668, 49)
(670, 36)
(671, 56)
(672, 55)
(675, 36)
(679, 43)
(682, 69)
(684, 42)
(689, 58)
(690, 53)
(692, 55)
(692, 58)
(694, 22)
(696, 86)
(697, 22)
(698, 22)
(699, 22)
(701, 22)
(702, 22)
(702, 46)
(704, 22)
(705, 22)
(706, 73)
(708, 22)
(710, 22)
(711, 22)
(711, 71)
(712, 93)
(724, 89)
(724, 119)
(738, 22)
(740, 22)
(744, 22)
(746, 22)
(749, 22)
(750, 72)
(753, 22)
(755, 22)
(768, 97)
(775, 22)
(776, 22)
(780, 22)
(783, 22)
(786, 42)
(789, 22)
(790, 22)
(796, 22)
(798, 22)
(799, 22)
(800, 22)
(808, 72)
(813, 122)
(821, 22)
(823, 22)
(829, 22)
(829, 76)
(830, 22)
(835, 22)
(835, 84)
(843, 22)
(844, 22)
(846, 22)
(853, 65)
(856, 22)
(857, 76)
(872, 22)
(873, 22)
(874, 22)
(876, 22)
(876, 357)
(879, 22)
(884, 22)
(885, 22)
(886, 85)
(887, 22)
(891, 22)
(892, 22)
(899, 80)
(911, 22)
(915, 22)
(916, 22)
(917, 22)
(920, 22)
(921, 22)
(923, 22)
(924, 22)
(925, 22)
(929, 22)
(930, 22)
(932, 88)
(933, 22)
(934, 22)
(938, 22)
(940, 113)
